pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1028,278,29,29011,326370,80150,NA,T,40075,43,NA,3,4,9,4,1,3,1,5,2,2,3,2,1,2,NA,1,2,5,3,1,2,275,2661,2,1,2,NA,NA,1,BARRINGTON,60010,6827,0.7694448513256189,0.01039988281822176,0.20301743078951223,0,0.03427567013329427,37608,Inverness,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,8.961,157125,FALSE,TRUE,TRUE
1029,234,72,72380,238680,37500,NA,W,3750,27,NA,2,1,7,3,3,1,1,5,1,1,3,1,1,2,2,2,2,3,1,2,2,0,1272,2,1,4,NA,NA,NA,CHICAGO,60638,5886,0.4712878015630309,0.02446483180428134,0,0.49864084267753994,0.01121304791029561,14000,Chicago,0,0,3,1,0,0,BYRNE,KENNEDY HS,6.934,70102,FALSE,TRUE,TRUE
1030,211,71,71010,276350,50220,NA,W,3720,62,2,2,1,10,4,1,1,1,2,1,0,3,2,1,2,1,2,2,3,1,2,2,0,2012,2,2,2,NA,NA,NA,CHICAGO,60630,3433,0.5674337314302359,0.02155549082435188,0.17826973492572096,0.1954558695018934,0.06670550538887271,14000,Chicago,0,0,1,0,0,0,FARNSWORTH,TAFT HS,6.894,81731,FALSE,TRUE,TRUE
1031,234,38,38010,252640,50020,NA,W,8700,56,NA,3,1,8,4,3,1,1,5,1,1,3,2,0,NA,NA,2,2,3,3,1,2,0,1756,2,1,4,NA,NA,NA,MOUNT PROSPECT,60056,7037,0.5918715361659799,0.00497371038794941,0.17677987778883048,0.2181327270143527,0.0113684808867415,51089,Mount Prospect,0,0,1,0,0,0,SCHOOL DISTRICT  26,ARLINGTON HTS TWNSHP H S 214,9.89,90106,FALSE,TRUE,TRUE
1032,206,71,71074,555720,124800,NA,W,7800,142,NA,1,1,11,5,1,1,2,5,1,0,3,2,0,2,2,2,2,4,1,2,2,0,2744,2,1,2,NA,1,1,CHICAGO,60641,2151,0.5908879590887959,0.02463970246397024,0.01580660158066016,0.3519293351929335,0.03114830311483031,14000,Chicago,0,0,1,0,0,0,BELDING,SCHURZ HS,6.917,82740,FALSE,TRUE,TRUE
1033,205,70,70030,76120,58580,NA,W,4687,80,NA,2,1,7,3,1,1,1,5,1,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,1117,2,1,2,NA,NA,NA,CHICAGO,60619,4229,0.00614802553795223,0.9574367462757152,0,0.00331047528966658,0.0626625679829747,14000,Chicago,0,0,1,0,0,0,TANNER,HIRSCH HS,6.88386464826358,27554,FALSE,FALSE,TRUE
1034,234,31,31120,184390,24250,AV,W,4410,46,NA,3,1,6,3,3,1,1,5,1,0,3,1,1,2,NA,2,2,3,1,2,2,0,878,2,1,4,NA,NA,NA,WESTCHESTER,60154,4492,0.39804096170970615,0.311219946571683,0.01602849510240427,0.2591273374888691,0.02938557435440783,80047,Westchester,0,0,3,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,70790,FALSE,TRUE,TRUE
1035,211,70,70030,95880,39060,NA,W,3125,94,2,2,2,10,4,1,3,2,5,2,0,3,2,0,2,2,2,2,3,1,2,2,0,2638,2,2,2,NA,NA,1,CHICAGO,60619,4229,0.00614802553795223,0.9574367462757152,0,0.00331047528966658,0.0626625679829747,14000,Chicago,0,0,1,0,0,0,TANNER,HIRSCH HS,6.88386464826358,27554,FALSE,TRUE,TRUE
1036,203,37,37033,75120,20830,NA,W,5555,63,NA,1,1,6,3,4,3,1,5,1,0,2,1,1,NA,NA,2,2,1,1,1,2,0,1139,2,1,1,3,NA,NA,DOLTON,60419,2723,0.02901211898641204,0.9283878075651856,0,0,0.085200146896805,20292,Dolton,0,0,1,0,0,0,SCHOOL DISTRICT  149,THORNTON TOWNSHIP HIGH SCHOOL  205,25.009,34500,FALSE,TRUE,TRUE
1037,209,23,23080,1135460,555160,NA,T,32657,78,NA,3,4,15,7,3,1,1,5,1,4,2,5,2,2,NA,1,2,3,2,1,2,1549,5317,2,1,2,3,NA,NA,WINNETKA,60093,5279,0.9143777230536086,0.00303087706004925,0.02292100776662246,0.03371850729304793,0.04110627012691797,82530,Winnetka,0,0,4,1,0,0,SCH DISTRICT 36,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.997,211042,TRUE,TRUE,TRUE
1038,204,71,71140,205820,63430,NA,W,4375,81,NA,2,1,7,3,1,1,2,5,2,0,1,1,0,2,NA,2,2,3,1,2,2,0,1818,2,1,5,1,NA,NA,CHICAGO,60634,7328,0.599754366812227,0.07273471615720524,0.05499454148471616,0.26282751091703055,0.01937772925764192,14000,Chicago,0,0,1,0,0,0,"LOCKE, J",STEINMETZ COLLEGE PREP HS,6.884772382397572,75339,FALSE,TRUE,TRUE
1039,203,37,37102,65430,21870,NA,W,6250,67,NA,3,1,6,3,2,3,1,5,1,0,3,1,0,2,2,2,2,4,1,2,2,0,1330,2,1,1,NA,NA,NA,LANSING,60438,4673,0.25144446822169914,0.5063128611170554,0,0.21634924031671304,0.05178686068906484,42028,Lansing,0,0,2,1,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,47844,FALSE,TRUE,TRUE
1040,205,71,71440,223810,63000,NA,W,5040,73,NA,2,1,6,3,1,1,1,5,1,0,3,1,1,NA,NA,2,2,3,2,2,2,0,1259,2,1,2,NA,NA,1,CHICAGO,60631,3364,0.8061831153388823,2.9726516052318666e-4,0.02972651605231866,0.13971462544589774,0.04815695600475624,14000,Chicago,1,0,1,0,0,0,EDISON PARK,TAFT HS,6.884772382397572,93778,FALSE,TRUE,TRUE
1041,203,17,17060,167570,59480,NA,W,5408,98,NA,1,1,6,3,1,3,1,5,2,0,1,1,1,2,2,2,2,4,1,2,2,0,1440,2,1,5,1,NA,1,EVANSTON,60201,4823,0.11300020733982998,0.5357661206717811,0.02073398299813394,0.27451793489529336,0.102011196350819,24582,Evanston,0,0,5,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,48648,FALSE,TRUE,TRUE
1042,202,20,20030,121430,42310,NA,T,6510,67,NA,2,1,4,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,857,2,1,1,NA,NA,NA,FRANKLIN PARK,60131,6452,0.5230936143831371,0,0.00526968381897086,0.4576875387476751,0.02789832610043397,27702,Franklin Park,0,0,1,0,0,0,SCHOOL DISTRICT  84,COMMUNITY HIGH SCHOOL  212,11.882,72011,FALSE,TRUE,TRUE
1043,206,23,23110,876240,385000,NA,T,17500,98,NA,3,1,9,5,1,3,2,5,2,1,1,3,0,NA,NA,2,2,3,3,2,2,0,3054,2,1,2,3,NA,NA,KENILWORTH,60043,2405,0.9064449064449064,0.00706860706860706,0.05322245322245322,0.02328482328482328,0.01995841995841996,39519,Kenilworth,0,0,1,0,0,0,SCH DISTRICT 38,NEW TRIER TOWNSHIP HIGH SCHOOL  203,8.662,214875,FALSE,TRUE,TRUE
1044,203,27,27030,26760,42820,NA,W,3807,97,NA,2,1,6,3,3,3,1,5,2,0,1,1,0,2,NA,2,2,3,1,2,2,0,1462,2,1,1,3,NA,1,OAK PARK,60302,4411,0.5601904330083881,0.31240081614146453,0.02629789163454999,0.06619814101110859,0.06982543640897755,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,125590,FALSE,TRUE,TRUE
1045,205,23,23093,495700,132000,NA,T,6600,117,NA,1,1,7,4,3,3,1,5,2,0,1,1,1,2,2,2,2,3,1,2,2,254,1936,2,1,2,3,NA,1,WILMETTE,60091,4880,0.8752049180327869,2.0491803278688525e-4,0.07172131147540983,0.01823770491803278,0.06926229508196721,82075,Wilmette,0,0,1,0,0,0,SCH DISTRICT 39,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.823,162328,FALSE,TRUE,TRUE
1046,278,29,29033,262060,63170,NA,W,10108,49,NA,1,1,8,4,1,3,1,5,2,0,3,2,1,NA,NA,2,2,3,1,1,2,0,2459,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60192,3805,0.8086727989487517,0,0.1340341655716163,0.0202365308804205,0.07411300919842313,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.023,123594,FALSE,TRUE,TRUE
1047,203,20,20050,135140,29350,NA,W,8387,66,NA,1,1,6,3,2,3,1,5,2,1,1,1,0,2,NA,2,2,2,1,2,2,0,1652,2,1,5,1,NA,NA,MELROSE PARK,60164,4749,0.4274584122973258,0.02632133080648557,0.03874499894714676,0.4990524320909665,0.01389766266582438,NA,NA,0,0,1,0,0,0,SCHOOL DISTRICT  83,COMMUNITY HIGH SCHOOL  212,11.119,50663,FALSE,TRUE,TRUE
1048,203,38,38070,252300,40620,NA,W,6500,67,NA,3,1,6,2,3,3,1,5,2,0,1,2,0,2,NA,2,2,4,1,1,2,0,1639,2,1,5,1,NA,NA,ARLINGTON HEIGHTS,60005,5739,0.960446070744032,0.00958355114131381,0.02247778358599059,0.00278794215020038,0.00940930475692629,02154,Arlington Heights,0,0,1,0,0,0,SCHOOL DISTRICT 25,ARLINGTON HTS TWNSHP H S 214,9.004,105114,FALSE,TRUE,TRUE
1049,234,37,37033,38730,20640,NA,W,5504,62,NA,3,1,9,3,3,1,1,5,1,0,3,2,1,NA,NA,2,2,3,1,2,2,0,1370,2,1,4,NA,NA,NA,DOLTON,60419,4578,0.05417212756662298,0.9159021406727827,0.00873743993010048,0.00677151594582787,0.02883355176933158,20292,Dolton,0,0,1,0,0,0,SCHOOL DISTRICT  149,THORNTON TOWNSHIP HIGH SCHOOL  205,25.009,46837,FALSE,TRUE,TRUE
1050,207,70,70070,125750,34370,NA,W,3125,24,NA,1,1,5,3,1,3,1,5,1,0,3,1,1,2,2,2,2,3,1,2,2,0,1311,2,1,2,NA,NA,NA,CHICAGO,60619,2756,0.03120464441219158,0.960087082728592,0,0,0.01741654571843251,14000,Chicago,0,0,1,0,0,0,MADISON,CHICAGO VOCATIONAL HS,6.88386464826358,29583,FALSE,TRUE,TRUE
1051,203,71,71150,173240,59370,NA,W,4750,93,NA,2,1,5,3,1,3,2,5,2,1,1,1,0,2,NA,2,2,3,1,2,2,0,1095,2,1,1,3,NA,1,CHICAGO,60634,4246,0.4573716439001413,0.02001884126236457,0.08313707018370231,0.4225153085256712,0.02119642016015073,14000,Chicago,0,0,1,0,0,0,"GRAY, W",SCHURZ HS,6.884772382397572,67500,FALSE,TRUE,TRUE
1052,210,70,70180,52400,20900,NA,W,3800,75,NA,3,1,5,2,2,3,1,5,2,1,3,1,0,2,2,2,2,7,NA,NA,NA,0,931,2,1,2,NA,NA,NA,CHICAGO,60617,3321,0.05901836796145739,0.6781090033122553,3.0111412225233364e-4,0.25082806383619394,0.02348690153568202,14000,Chicago,0,0,6,1,0,0,BURNHAM,BOWEN HS,6.908,44423,FALSE,FALSE,TRUE
1053,203,70,70070,98510,31680,NA,O,2880,122,NA,2,1,6,3,1,1,1,5,2,0,1,1,1,2,NA,2,2,1,3,2,2,0,1266,2,1,5,1,NA,1,CHICAGO,60637,2398,0.00750625521267723,0.97581317764804,0.00291909924937447,0.01334445371142618,8.340283569641367e-4,14000,Chicago,0,0,2,1,0,0,WADSWORTH,HYDE PARK HS,6.89,17441,FALSE,TRUE,TRUE
1054,211,77,77013,114960,26770,NA,W,3150,117,2,2,2,12,6,1,3,1,5,2,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,2510,2,2,2,NA,NA,1,CHICAGO,60644,4161,0.01682287911559721,0.8387406873347752,0,0.10694544580629656,0.07498197548666186,14000,Chicago,0,0,1,0,0,0,NASH,MARSHALL HS,6.89,35264,FALSE,FALSE,TRUE
1055,203,37,37024,60120,21090,NA,O,5625,77,NA,2,1,5,3,3,3,1,5,1,0,2,1,1,2,2,2,2,3,1,2,2,0,1284,2,1,5,1,NA,NA,RIVERDALE,60827,6077,0.0396577258515715,0.8777357248642422,0.00378476221819976,0.04870824419944051,0.06022708573309199,64278,Riverdale,0,0,1,0,0,0,SCHOOL DISTRICT  148,THORNTON TOWNSHIP HIGH SCHOOL  205,32.335,38269,FALSE,TRUE,TRUE
1056,203,72,72380,171090,36900,NA,W,3690,59,NA,2,1,5,3,1,3,1,5,2,0,2,1,0,NA,NA,2,2,3,1,2,2,0,1147,2,1,1,3,NA,NA,CHICAGO,60638,3701,0.5409348824641989,0.0216157795190489,0.00270197243988111,0.3723318022156174,0.12483112672250744,14000,Chicago,0,0,1,0,0,0,DORE,KENNEDY HS,6.934,68902,FALSE,TRUE,TRUE
1057,203,17,17130,26740,43050,NA,W,4200,112,NA,4,1,7,3,1,3,1,5,2,0,1,1,1,2,NA,2,2,7,NA,NA,NA,0,1666,2,1,5,1,NA,NA,EVANSTON,60201,3115,0.3550561797752809,0.3804173354735153,0.03723916532905297,0.19069020866773675,0.07319422150882825,24582,Evanston,0,0,6,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,90625,FALSE,FALSE,TRUE
1058,211,12,12111,52950,10150,NA,W,3125,120,2,1,1,8,4,3,3,2,5,2,0,2,2,0,2,NA,2,2,3,2,2,2,0,1536,2,2,2,2,NA,1,CHICAGO HEIGHTS,60411,3818,0.06705081194342588,0.16972236773179675,0,0.7595599790466213,0.0073336825563122,14026,Chicago Heights,0,0,3,1,0,0,SCHOOL DISTRICT  170,BLOOM TOWNSHIP HIGH SCHOOL  206,19.75,31269,FALSE,TRUE,TRUE
1059,234,36,36041,208230,50600,NA,W,9200,24,NA,2,1,6,2,3,1,1,5,1,1,3,1,1,2,NA,2,2,3,2,1,2,0,1837,2,1,4,NA,NA,NA,BURBANK,60459,4661,0.6595151255095473,0.01265822784810126,0.02767646427805192,0.27504827290281053,0.0502038189229779,09642,Burbank,0,0,1,0,0,0,SCHOOL DISTRICT  111,COMMUNITY HIGH SCHOOL  220,12.287,63429,FALSE,TRUE,TRUE
1060,202,31,31034,141500,21210,AV,W,4466,96,NA,2,1,5,2,1,3,1,5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,974,2,1,1,NA,NA,2,MAYWOOD,60153,5264,0.02051671732522796,0.8077507598784195,0.0060790273556231,0.1656534954407295,0,47774,Maywood,0,0,1,0,0,0,SCHOOL DISTRICT 89,PROVISO TOWNSHIP HIGH SCHOOL 209,21.667,61250,FALSE,TRUE,TRUE
1061,211,77,77091,69680,35250,NA,O,3000,117,NA,1,1,6,4,2,3,1,5,2,0,3,2,0,NA,NA,2,2,7,NA,NA,NA,0,2112,2,2,2,NA,NA,NA,CHICAGO,60623,2705,0.04325323475046211,0.8358595194085028,0.00258780036968576,0.1134935304990758,0.0077634011090573,14000,Chicago,0,0,3,1,0,1,DVORAK TECH ACAD,FARRAGUT HS,6.913,32237,FALSE,FALSE,TRUE
1062,203,72,72030,119650,37500,NA,W,3750,79,NA,2,1,5,2,1,3,2,5,2,0,1,1,0,NA,NA,2,2,7,NA,NA,NA,0,1088,2,1,1,3,NA,NA,CHICAGO,60629,5276,0.17418498862774828,0.00549658832448824,0.0200909780136467,0.7970053070507961,0.00322213798332069,14000,Chicago,0,0,1,0,0,0,LEE,HUBBARD HS,6.934,57875,FALSE,FALSE,TRUE
1063,205,26,26040,288740,78750,NA,W,7500,73,NA,3,1,7,4,3,1,1,5,2,1,3,1,1,2,2,2,2,1,3,1,1,397,1665,2,1,2,NA,NA,1,PARK RIDGE,60068,5355,0.8860877684407096,1.8674136321195143e-4,0.02782446311858076,0.06722689075630252,0.03734827264239029,57875,Park Ridge,1,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.908,105598,FALSE,TRUE,TRUE
1064,209,25,25102,616630,132180,NA,O,11250,21,NA,2,1,9,5,1,3,1,5,1,1,3,3,1,2,2,2,2,4,2,1,1,0,5332,2,1,2,NA,NA,NA,GLENVIEW,60026,6915,0.7088937093275488,0.00260303687635574,0.24931308749096168,0.02415039768618944,0.03007953723788864,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT 30,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.556,119766,TRUE,TRUE,TRUE
1065,205,34,34010,199060,58180,NA,W,6650,74,NA,2,1,6,3,1,3,1,5,2,0,2,1,0,2,NA,2,2,3,1,2,2,0,1210,2,1,2,3,NA,NA,NORTH RIVERSIDE,60546,5025,0.6153233830845771,0.0308457711442786,0.00656716417910447,0.3227860696517413,0.04895522388059702,54144,North Riverside,0,0,1,0,0,0,SCHOOL DISTRICT 94,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,8.677,63383,FALSE,TRUE,TRUE
1066,278,17,17090,479250,136560,NA,T,9418,62,NA,2,1,8,4,1,3,1,5,1,2,3,2,1,2,NA,2,2,3,2,1,2,0,2688,2,1,2,NA,NA,NA,EVANSTON,60201,3961,0.6510982075233527,0.10350921484473616,0.1532441302701338,0.07371875788942187,0.03685937894471093,24582,Evanston,0,0,1,0,0,1,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,65685,FALSE,TRUE,TRUE
1067,206,26,26040,364530,65620,NA,W,6250,76,NA,2,1,7,3,1,3,1,5,1,0,3,2,0,2,2,2,2,3,2,2,2,0,2303,2,1,2,NA,NA,NA,PARK RIDGE,60068,5355,0.8860877684407096,1.8674136321195143e-4,0.02782446311858076,0.06722689075630252,0.03734827264239029,57875,Park Ridge,1,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.908,105598,FALSE,TRUE,TRUE
1068,202,37,37092,34200,33750,AV,O,7500,90,NA,2,1,5,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,863,2,1,1,NA,NA,1,SOUTH HOLLAND,60473,5023,0.18793549671511048,0.74318136571769855,0.00179175791359745,0.06310969540115469,0.00676886322914592,70850,South Holland,0,0,1,0,0,1,SCHOOL DISTRICT  151,THORNTON TOWNSHIP HIGH SCHOOL  205,20.024,59213,FALSE,FALSE,TRUE
1069,205,29,29100,191020,32560,NA,T,10020,66,NA,1,1,8,4,4,3,1,5,1,0,3,1,1,2,2,2,2,2,1,2,2,0,1686,2,1,2,NA,NA,NA,ROLLING MEADOWS,60008,3437,0.7291242362525459,0.00727378527785859,0.01832993890020366,0.23305208030258948,0.02211230724469013,65338,Rolling Meadows,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,ARLINGTON HTS TWNSHP H S 214,9.977,91010,FALSE,TRUE,TRUE
1070,211,70,70030,76570,38250,NA,W,3060,122,2,1,1,9,4,1,3,1,5,2,0,3,2,0,2,2,2,2,3,1,2,2,0,1638,2,2,2,NA,NA,NA,CHICAGO,60619,4229,0.00614802553795223,0.9574367462757152,0,0.00331047528966658,0.0626625679829747,14000,Chicago,0,0,1,0,0,0,PARK MANOR,ROBESON HS,6.88386464826358,27554,FALSE,TRUE,TRUE
1071,295,38,38070,185480,12860,GD,W,2058,43,NA,2,1,5,3,1,1,1,5,1,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,1152,2,1,2,NA,NA,NA,ARLINGTON HEIGHTS,60005,5652,0.8190021231422505,0.00778485491861288,0.08280254777070063,0.08545647558386411,0.0099079971691436591,02154,Arlington Heights,0,0,1,0,0,0,SCHOOL DISTRICT 25,ARLINGTON HTS TWNSHP H S 214,9.004,97353,FALSE,FALSE,TRUE
1072,203,24,24101,253780,40590,NA,W,4059,91,NA,2,1,7,4,1,3,1,5,2,0,2,2,0,2,NA,2,2,3,2,2,2,0,1687,2,1,1,1,NA,NA,LINCOLNWOOD,60712,4870,0.5059548254620123,0.03100616016427104,0.29671457905544146,0.09671457905544148,0.13921971252566734,43744,Lincolnwood,0,0,3,1,0,0,SCHOOL DISTRICT 74,COMMUNITY HIGH SCHOOL  219,8.872,77240,FALSE,TRUE,TRUE
1073,202,31,31092,179620,17820,NA,T,3100,95,NA,1,1,5,2,1,3,1,5,2,0,1,1,0,2,2,2,2,3,1,2,2,285,832,2,1,1,3,NA,1,FOREST PARK,60130,6035,0.5367025683512842,0.2311516155758078,0.11068765534382768,0.0916321458160729,0.05733222866611433,26935,Forest Park,0,0,1,0,0,0,SCHOOL DISTRICT 91,PROVISO TOWNSHIP HIGH SCHOOL 209,12.075,59485,FALSE,TRUE,TRUE
1074,203,21,21012,304070,68770,NA,T,7860,94,NA,1,1,6,3,1,1,1,5,2,0,1,1,1,2,NA,2,2,3,1,2,2,0,1397,2,1,5,1,NA,NA,WESTERN SPRINGS,60558,5576,0.9036944045911048,0.01398852223816355,0.00914634146341463,0.05523672883787661,0.03586800573888091,80242,Western Springs,0,0,1,0,0,0,SCHOOL DISTRICT  101,LYONS TOWNSHIP HIGH SCHOOL  204,7.9,162765,FALSE,TRUE,TRUE
1075,203,77,77011,88120,37440,NA,W,3840,97,NA,1,1,5,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,1312,2,1,1,NA,NA,NA,CHICAGO,60651,5396,0,0.7981838398813936,0,0.16716085989621943,0.04058561897702002,14000,Chicago,0,0,1,0,0,0,YOUNG,ORR HS,6.89,40349,FALSE,TRUE,TRUE
1076,204,23,23094,59460,209000,NA,W,9500,100,NA,3,1,8,4,1,3,1,5,1,1,2,2,1,2,2,2,2,3,1,2,2,348,2766,2,1,5,1,NA,1,WILMETTE,60091,4426,0.8565295978309987,0.00948938093086308,0.08901943063714415,0.01943063714414821,0.04518752824220515,82075,Wilmette,0,0,1,0,0,0,SCH DISTRICT 39,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.823,165139,FALSE,TRUE,TRUE
1077,278,18,18012,193530,75000,NA,W,10000,24,NA,1,1,8,4,1,3,1,5,1,1,3,2,1,2,1,2,2,3,1,1,1,0,2344,2,1,2,NA,NA,NA,BARTLETT,60103,12447,0.544629227926408,0.02024584237165582,0.26351731340885354,0.1408371495139391,0.04997188077448381,04013,Bartlett,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,11.448,97684,FALSE,TRUE,TRUE
1078,205,71,71371,204770,46500,NA,W,3720,80,NA,3,1,5,2,3,3,1,5,2,0,3,1,0,2,NA,2,2,3,1,2,2,0,1696,2,1,2,NA,NA,NA,CHICAGO,60634,5593,0.6851421419631682,0,0.06847845521187199,0.23583050241373144,0.02109780082245664,14000,Chicago,0,0,1,0,0,0,CANTY,STEINMETZ COLLEGE PREP HS,6.894,84569,FALSE,TRUE,TRUE
1079,211,70,70100,47050,62000,NA,W,6200,112,2,1,1,10,6,4,3,1,2,2,0,1,2,2,2,2,2,2,3,2,2,2,0,2192,2,2,2,3,NA,1,CHICAGO,60617,3424,0.01022196261682243,0.8320677570093458,0.01810747663551401,0.12938084112149534,0.01547897196261682,14000,Chicago,0,0,1,0,0,0,NEW SULLIVAN,BOWEN HS,6.88386464826358,35000,FALSE,TRUE,TRUE
1080,203,38,38050,248640,50090,NA,T,8712,60,NA,3,1,7,4,1,3,1,5,2,0,3,2,0,NA,NA,2,2,3,3,1,2,0,1550,2,1,1,NA,NA,NA,ARLINGTON HEIGHTS,60004,4746,0.8314369995785925,0.02064896755162242,0.07796038769490098,0.05689001264222503,0.02612726506531816,02154,Arlington Heights,0,0,4,1,0,0,SCHOOL DISTRICT 25,ARLINGTON HTS TWNSHP H S 214,9.004,102520,FALSE,TRUE,TRUE
1081,205,71,71090,165400,54370,NA,W,3750,101,NA,2,3,7,4,1,1,1,5,1,0,3,3,0,2,2,2,2,3,1,2,2,0,2092,2,1,2,NA,NA,1,CHICAGO,60634,3599,0.6976938038343985,0.01472631286468463,0.03778827452070019,0.24367879966657405,0.00805779383161989,14000,Chicago,0,0,1,0,0,0,SMYSER,TAFT HS,6.884772382397572,76017,FALSE,TRUE,TRUE
1082,211,72,72091,56870,24370,NA,W,3750,112,2,2,3,12,6,1,1,1,5,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,2646,2,2,2,NA,NA,1,CHICAGO,60621,1426,7.012622720897616e-4,0.884992987377279,0.02945301542776998,0.07784011220196353,0.01402524544179523,14000,Chicago,0,0,4,1,0,0,HOLMES,HOPE HS,6.89,22104,FALSE,TRUE,TRUE
1083,203,71,71430,210500,63000,NA,W,5040,63,NA,2,1,6,3,1,3,1,5,2,0,2,1,1,NA,NA,2,2,2,2,1,2,0,1318,2,1,1,3,NA,NA,CHICAGO,60656,4700,0.7976595744680851,8.51063829787234e-4,0.03723404255319149,0.15361702127659574,0.02127659574468085,14000,Chicago,0,0,5,1,0,0,GARVY,TAFT HS,6.894,81458,FALSE,TRUE,TRUE
1084,278,72,72380,268470,37500,NA,W,3750,17,NA,3,1,7,3,3,1,1,5,1,0,3,2,1,2,2,2,2,7,NA,NA,NA,0,2352,2,1,2,NA,NA,NA,CHICAGO,60638,7157,0.3317032276093335,0.00880257090959899,0,0.650551907223697,0.01089842112617018,14000,Chicago,0,0,1,0,0,0,HALE,KENNEDY HS,6.873317191283292,68397,FALSE,FALSE,TRUE
1085,234,22,22023,152230,41720,NA,W,6954,57,NA,3,1,8,4,3,1,2,5,2,0,3,2,1,NA,NA,2,2,3,1,1,2,0,1512,2,1,4,NA,NA,NA,DES PLAINES,60016,4486,0.748773963441819,0.00802496656263932,0.04079358002674989,0.16897012929112795,0.06219349086045474,19642,Des Plaines,0,0,1,0,0,0,SCHOOL DISTRICT C C  62,MAINE TOWNSHIP HIGH SCHOOL  207,9.229,84974,FALSE,TRUE,TRUE
1086,203,77,77115,109360,36710,NA,T,3125,117,NA,1,6,8,4,1,3,1,5,2,0,1,2,0,2,NA,2,2,1,1,2,2,0,1760,2,1,5,1,NA,NA,CHICAGO,60623,5011,0.0301337058471363,0.029335461983636,0,0.938335661544602,0.00439034124925164,14000,Chicago,0,0,5,0,0,0,WHITNEY,INFINITY HS,6.89,32308,FALSE,TRUE,TRUE
1087,203,31,31200,134860,35570,NA,W,6468,64,NA,2,1,5,3,1,3,1,5,1,0,1,1,0,2,NA,2,2,3,1,2,2,0,1157,2,1,1,3,NA,NA,MELROSE PARK,60160,4289,0.14525530426672884,0.03310795057122873,0.0018652366519002,0.8197715085101422,0,48242,Melrose Park,0,1,7,0,0,0,SCHOOL DISTRICT 88,PROVISO TOWNSHIP HIGH SCHOOL 209,12.961,40632,FALSE,TRUE,TRUE
